09:01:17.600,35=D;11=LIT-777;54=2;38=2500;44=91.3;100=L;,35=D;11=DRK-777;54=2;38=300;44=91.5;100=D;
09:01:17.700,35=D;11=LIT-778;54=1;38=600;44=91.3;100=L;,35=D;11=DRK-778;54=1;38=1300;44=91.1;100=D;
09:01:17.800,35=D;11=LIT-779;54=2;38=1100;44=91.4;100=L;,35=D;11=DRK-779;54=2;38=900;44=91.4;100=D;
09:01:17.900,35=D;11=LIT-780;54=1;38=2300;44=91.5;100=L;,35=D;11=DRK-780;54=1;38=800;44=91.6;100=D;
09:01:18.000,35=D;11=LIT-781;54=2;38=1800;44=91.9;100=L;,35=D;11=DRK-781;54=2;38=600;44=91.7;100=D;
09:01:18.100,35=D;11=LIT-782;54=1;38=300;44=91.8;100=L;,35=D;11=DRK-782;54=1;38=100;44=91.8;100=D;
09:01:18.200,35=D;11=LIT-783;54=2;38=1200;44=91.8;100=L;,35=D;11=DRK-783;54=2;38=1000;44=91.9;100=D;
09:01:18.300,35=D;11=LIT-784;54=1;38=1000;44=91.9;100=L;,35=D;11=DRK-784;54=1;38=1500;44=92.0;100=D;
09:01:18.400,35=D;11=LIT-785;54=2;38=400;44=92.3;100=L;,35=D;11=DRK-785;54=2;38=1100;44=92.1;100=D;
09:01:18.500,35=D;11=LIT-786;54=1;38=200;44=92.4;100=L;,35=D;11=DRK-786;54=1;38=1300;44=92.3;100=D;
09:01:18.600,35=D;11=LIT-787;54=2;38=2800;44=92.5;100=L;,35=D;11=DRK-787;54=2;38=400;44=92.4;100=D;
09:01:18.700,35=D;11=LIT-788;54=1;38=1500;44=92.3;100=L;,35=D;11=DRK-788;54=1;38=1300;44=92.2;100=D;
09:01:18.800,35=D;11=LIT-789;54=2;38=2200;44=92.2;100=L;,35=D;11=DRK-789;54=2;38=500;44=92.3;100=D;
09:01:18.900,35=D;11=LIT-790;54=1;38=300;44=92.5;100=L;,35=D;11=DRK-790;54=1;38=400;44=92.5;100=D;
09:01:19.000,35=D;11=LIT-791;54=2;38=2100;44=92.3;100=L;,35=D;11=DRK-791;54=2;38=1400;44=92.3;100=D;
09:01:19.100,35=D;11=LIT-792;54=1;38=3000;44=92.7;100=L;,35=D;11=DRK-792;54=1;38=800;44=92.7;100=D;
09:01:19.200,35=D;11=LIT-793;54=2;38=300;44=92.8;100=L;,35=D;11=DRK-793;54=2;38=300;44=92.9;100=D;
09:01:19.300,35=D;11=LIT-794;54=1;38=2300;44=92.8;100=L;,35=D;11=DRK-794;54=1;38=800;44=92.7;100=D;
09:01:19.400,35=D;11=LIT-795;54=2;38=800;44=92.5;100=L;,35=D;11=DRK-795;54=2;38=700;44=92.7;100=D;
09:01:19.500,35=D;11=LIT-796;54=1;38=2700;44=92.5;100=L;,35=D;11=DRK-796;54=1;38=1200;44=92.7;100=D;
09:01:19.600,35=D;11=LIT-797;54=2;38=800;44=92.6;100=L;,35=D;11=DRK-797;54=2;38=1200;44=92.6;100=D;
09:01:19.700,35=D;11=LIT-798;54=1;38=400;44=92.4;100=L;,35=D;11=DRK-798;54=1;38=100;44=92.5;100=D;
09:01:19.800,35=D;11=LIT-799;54=2;38=400;44=92.5;100=L;,35=D;11=DRK-799;54=2;38=1300;44=92.6;100=D;
09:01:19.900,35=D;11=LIT-800;54=1;38=2400;44=92.6;100=L;,35=D;11=DRK-800;54=1;38=1000;44=92.6;100=D;
09:01:20.000,35=D;11=LIT-801;54=2;38=2500;44=92.6;100=L;,35=D;11=DRK-801;54=2;38=1000;44=92.6;100=D;
09:01:20.100,35=D;11=LIT-802;54=1;38=2000;44=92.8;100=L;,35=D;11=DRK-802;54=1;38=900;44=92.8;100=D;
09:01:20.200,35=D;11=LIT-803;54=2;38=900;44=92.9;100=L;,35=D;11=DRK-803;54=2;38=1100;44=92.7;100=D;
09:01:20.300,35=D;11=LIT-804;54=1;38=2800;44=93.0;100=L;,35=D;11=DRK-804;54=1;38=1000;44=93.1;100=D;
09:01:20.400,35=D;11=LIT-805;54=2;38=1000;44=92.9;100=L;,35=D;11=DRK-805;54=2;38=600;44=92.9;100=D;
09:01:20.500,35=D;11=LIT-806;54=1;38=1200;44=92.7;100=L;,35=D;11=DRK-806;54=1;38=300;44=92.9;100=D;
09:01:20.600,35=D;11=LIT-807;54=2;38=200;44=93.1;100=L;,35=D;11=DRK-807;54=2;38=1300;44=93.1;100=D;
09:01:20.700,35=D;11=LIT-808;54=1;38=1300;44=93.2;100=L;,35=D;11=DRK-808;54=1;38=1000;44=93.2;100=D;
09:01:20.800,35=D;11=LIT-809;54=2;38=2200;44=93.2;100=L;,35=D;11=DRK-809;54=2;38=300;44=93.2;100=D;
09:01:20.900,35=D;11=LIT-810;54=1;38=400;44=93.1;100=L;,35=D;11=DRK-810;54=1;38=500;44=93.0;100=D;
09:01:21.000,35=D;11=LIT-811;54=2;38=1800;44=93.3;100=L;,35=D;11=DRK-811;54=2;38=400;44=93.3;100=D;
09:01:21.100,35=D;11=LIT-812;54=1;38=1100;44=93.0;100=L;,35=D;11=DRK-812;54=1;38=1300;44=93.1;100=D;
09:01:21.200,35=D;11=LIT-813;54=2;38=1400;44=93.0;100=L;,35=D;11=DRK-813;54=2;38=1000;44=93.1;100=D;
09:01:21.300,35=D;11=LIT-814;54=1;38=800;44=93.0;100=L;,35=D;11=DRK-814;54=1;38=1100;44=92.9;100=D;
09:01:21.400,35=D;11=LIT-815;54=2;38=900;44=93.1;100=L;,35=D;11=DRK-815;54=2;38=600;44=93.0;100=D;
09:01:21.500,35=D;11=LIT-816;54=1;38=1900;44=93.3;100=L;,35=D;11=DRK-816;54=1;38=800;44=93.3;100=D;
09:01:21.600,35=D;11=LIT-817;54=2;38=3000;44=93.4;100=L;,35=D;11=DRK-817;54=2;38=1100;44=93.6;100=D;
09:01:21.700,35=D;11=LIT-818;54=1;38=2200;44=93.3;100=L;,35=D;11=DRK-818;54=1;38=1500;44=93.3;100=D;
09:01:21.800,35=D;11=LIT-819;54=2;38=1200;44=93.3;100=L;,35=D;11=DRK-819;54=2;38=100;44=93.2;100=D;
09:01:21.900,35=D;11=LIT-820;54=1;38=800;44=93.5;100=L;,35=D;11=DRK-820;54=1;38=200;44=93.5;100=D;
09:01:22.000,35=D;11=LIT-821;54=2;38=1700;44=93.6;100=L;,35=D;11=DRK-821;54=2;38=900;44=93.5;100=D;
09:01:22.100,35=D;11=LIT-822;54=1;38=2100;44=93.8;100=L;,35=D;11=DRK-822;54=1;38=1300;44=93.8;100=D;
09:01:22.200,35=D;11=LIT-823;54=2;38=400;44=93.8;100=L;,35=D;11=DRK-823;54=2;38=200;44=93.8;100=D;
09:01:22.300,35=D;11=LIT-824;54=1;38=2100;44=93.8;100=L;,35=D;11=DRK-824;54=1;38=1100;44=94.0;100=D;
09:01:22.400,35=D;11=LIT-825;54=2;38=2100;44=93.7;100=L;,35=D;11=DRK-825;54=2;38=900;44=93.9;100=D;
09:01:22.500,35=D;11=LIT-826;54=1;38=2800;44=93.8;100=L;,35=D;11=DRK-826;54=1;38=800;44=93.8;100=D;
09:01:22.600,35=D;11=LIT-827;54=2;38=1400;44=93.8;100=L;,35=D;11=DRK-827;54=2;38=1100;44=93.8;100=D;
09:01:22.700,35=D;11=LIT-828;54=1;38=2200;44=93.9;100=L;,35=D;11=DRK-828;54=1;38=1000;44=94.1;100=D;
09:01:22.800,35=D;11=LIT-829;54=2;38=2300;44=93.8;100=L;,35=D;11=DRK-829;54=2;38=600;44=93.9;100=D;
09:01:22.900,35=D;11=LIT-830;54=1;38=600;44=93.9;100=L;,35=D;11=DRK-830;54=1;38=600;44=93.9;100=D;
09:01:23.000,35=D;11=LIT-831;54=2;38=2500;44=93.6;100=L;,35=D;11=DRK-831;54=2;38=1200;44=93.5;100=D;,35=D;11=SOR-07;54=1;38=4000;44=93.7;100=SOR;
09:01:23.100,35=D;11=LIT-832;54=1;38=3000;44=93.3;100=L;,35=D;11=DRK-832;54=1;38=400;44=93.4;100=D;
09:01:23.200,35=D;11=LIT-833;54=2;38=300;44=93.3;100=L;,35=D;11=DRK-833;54=2;38=400;44=93.5;100=D;
09:01:23.300,35=D;11=LIT-834;54=1;38=1400;44=93.7;100=L;,35=D;11=DRK-834;54=1;38=700;44=93.6;100=D;
09:01:23.400,35=D;11=LIT-835;54=2;38=3000;44=93.5;100=L;,35=D;11=DRK-835;54=2;38=800;44=93.7;100=D;
09:01:23.500,35=D;11=LIT-836;54=1;38=900;44=93.7;100=L;,35=D;11=DRK-836;54=1;38=800;44=93.5;100=D;
09:01:23.600,35=D;11=LIT-837;54=2;38=200;44=93.7;100=L;,35=D;11=DRK-837;54=2;38=700;44=93.6;100=D;
09:01:23.700,35=D;11=LIT-838;54=1;38=1600;44=93.5;100=L;,35=D;11=DRK-838;54=1;38=1200;44=93.7;100=D;
09:01:23.800,35=D;11=LIT-839;54=2;38=2600;44=93.4;100=L;,35=D;11=DRK-839;54=2;38=1300;44=93.5;100=D;
09:01:23.900,35=D;11=LIT-840;54=1;38=2700;44=93.3;100=L;,35=D;11=DRK-840;54=1;38=700;44=93.4;100=D;
09:01:24.000,35=D;11=LIT-841;54=2;38=900;44=93.5;100=L;,35=D;11=DRK-841;54=2;38=1100;44=93.5;100=D;
09:01:24.100,35=D;11=LIT-842;54=1;38=800;44=93.3;100=L;,35=D;11=DRK-842;54=1;38=1300;44=93.5;100=D;
09:01:24.200,35=D;11=LIT-843;54=2;38=2900;44=93.6;100=L;,35=D;11=DRK-843;54=2;38=200;44=93.7;100=D;
09:01:24.300,35=D;11=LIT-844;54=1;38=900;44=93.8;100=L;,35=D;11=DRK-844;54=1;38=100;44=93.6;100=D;
09:01:24.400,35=D;11=LIT-845;54=2;38=1900;44=93.8;100=L;,35=D;11=DRK-845;54=2;38=500;44=93.7;100=D;
09:01:24.500,35=D;11=LIT-846;54=1;38=1800;44=93.5;100=L;,35=D;11=DRK-846;54=1;38=1000;44=93.5;100=D;
09:01:24.600,35=D;11=LIT-847;54=2;38=1700;44=93.6;100=L;,35=D;11=DRK-847;54=2;38=500;44=93.7;100=D;
09:01:24.700,35=D;11=LIT-848;54=1;38=1700;44=93.6;100=L;,35=D;11=DRK-848;54=1;38=800;44=93.8;100=D;
09:01:24.800,35=D;11=LIT-849;54=2;38=1800;44=93.8;100=L;,35=D;11=DRK-849;54=2;38=800;44=93.9;100=D;
09:01:24.900,35=D;11=LIT-850;54=1;38=500;44=93.9;100=L;,35=D;11=DRK-850;54=1;38=600;44=93.9;100=D;
09:01:25.000,35=D;11=LIT-851;54=2;38=900;44=93.8;100=L;,35=D;11=DRK-851;54=2;38=600;44=93.7;100=D;
09:01:25.100,35=D;11=LIT-852;54=1;38=1500;44=93.7;100=L;,35=D;11=DRK-852;54=1;38=1200;44=93.8;100=D;
09:01:25.200,35=D;11=LIT-853;54=2;38=1300;44=93.7;100=L;,35=D;11=DRK-853;54=2;38=200;44=93.7;100=D;
09:01:25.300,35=D;11=LIT-854;54=1;38=1500;44=93.7;100=L;,35=D;11=DRK-854;54=1;38=600;44=93.7;100=D;
09:01:25.400,35=D;11=LIT-855;54=2;38=200;44=93.7;100=L;,35=D;11=DRK-855;54=2;38=400;44=93.5;100=D;
09:01:25.500,35=D;11=LIT-856;54=1;38=1400;44=93.6;100=L;,35=D;11=DRK-856;54=1;38=1000;44=93.5;100=D;
09:01:25.600,35=D;11=LIT-857;54=2;38=1500;44=93.8;100=L;,35=D;11=DRK-857;54=2;38=1300;44=93.8;100=D;
09:01:25.700,35=D;11=LIT-858;54=1;38=900;44=93.5;100=L;,35=D;11=DRK-858;54=1;38=1000;44=93.7;100=D;
09:01:25.800,35=D;11=LIT-859;54=2;38=800;44=93.4;100=L;,35=D;11=DRK-859;54=2;38=1100;44=93.4;100=D;
09:01:25.900,35=D;11=LIT-860;54=1;38=2500;44=93.2;100=L;,35=D;11=DRK-860;54=1;38=500;44=93.3;100=D;
09:01:26.000,35=D;11=LIT-861;54=2;38=1200;44=93.4;100=L;,35=D;11=DRK-861;54=2;38=200;44=93.3;100=D;
09:01:26.100,35=D;11=LIT-862;54=1;38=1100;44=93.1;100=L;,35=D;11=DRK-862;54=1;38=900;44=93.0;100=D;
09:01:26.200,35=D;11=LIT-863;54=2;38=800;44=92.9;100=L;,35=D;11=DRK-863;54=2;38=900;44=92.9;100=D;
09:01:26.300,35=D;11=LIT-864;54=1;38=2600;44=93.1;100=L;,35=D;11=DRK-864;54=1;38=1500;44=93.2;100=D;
09:01:26.400,35=D;11=LIT-865;54=2;38=1200;44=93.1;100=L;,35=D;11=DRK-865;54=2;38=900;44=93.2;100=D;
09:01:26.500,35=D;11=LIT-866;54=1;38=700;44=92.9;100=L;,35=D;11=DRK-866;54=1;38=600;44=92.9;100=D;
09:01:26.600,35=D;11=LIT-867;54=2;38=2200;44=93.2;100=L;,35=D;11=DRK-867;54=2;38=100;44=93.2;100=D;
09:01:26.700,35=D;11=LIT-868;54=1;38=2800;44=92.9;100=L;,35=D;11=DRK-868;54=1;38=800;44=92.9;100=D;
09:01:26.800,35=D;11=LIT-869;54=2;38=1900;44=93.1;100=L;,35=D;11=DRK-869;54=2;38=400;44=93.1;100=D;
09:01:26.900,35=D;11=LIT-870;54=1;38=1900;44=93.4;100=L;,35=D;11=DRK-870;54=1;38=1400;44=93.3;100=D;
09:01:27.000,35=D;11=LIT-871;54=2;38=1100;44=93.2;100=L;,35=D;11=DRK-871;54=2;38=500;44=93.1;100=D;
09:01:27.100,35=D;11=LIT-872;54=1;38=1900;44=93.5;100=L;,35=D;11=DRK-872;54=1;38=100;44=93.5;100=D;
09:01:27.200,35=D;11=LIT-873;54=2;38=2900;44=93.4;100=L;,35=D;11=DRK-873;54=2;38=400;44=93.6;100=D;
09:01:27.300,35=D;11=LIT-874;54=1;38=200;44=93.6;100=L;,35=D;11=DRK-874;54=1;38=1000;44=93.5;100=D;
09:01:27.400,35=D;11=LIT-875;54=2;38=2300;44=93.3;100=L;,35=D;11=DRK-875;54=2;38=1500;44=93.3;100=D;
09:01:27.500,35=D;11=LIT-876;54=1;38=400;44=93.1;100=L;,35=D;11=DRK-876;54=1;38=500;44=93.3;100=D;
09:01:27.600,35=D;11=LIT-877;54=2;38=1100;44=93.0;100=L;,35=D;11=DRK-877;54=2;38=900;44=93.2;100=D;
09:01:27.700,35=D;11=LIT-878;54=1;38=3000;44=93.1;100=L;,35=D;11=DRK-878;54=1;38=1100;44=93.1;100=D;
09:01:27.800,35=D;11=LIT-879;54=2;38=3000;44=92.8;100=L;,35=D;11=DRK-879;54=2;38=700;44=92.9;100=D;
09:01:27.900,35=D;11=LIT-880;54=1;38=2900;44=92.9;100=L;,35=D;11=DRK-880;54=1;38=200;44=92.9;100=D;
09:01:28.000,35=D;11=LIT-881;54=2;38=600;44=92.9;100=L;,35=D;11=DRK-881;54=2;38=900;44=93.1;100=D;
09:01:28.100,35=D;11=LIT-882;54=1;38=1700;44=93.1;100=L;,35=D;11=DRK-882;54=1;38=800;44=93.1;100=D;
09:01:28.200,35=D;11=LIT-883;54=2;38=200;44=93.0;100=L;,35=D;11=DRK-883;54=2;38=400;44=92.9;100=D;
09:01:28.300,35=D;11=LIT-884;54=1;38=1900;44=92.9;100=L;,35=D;11=DRK-884;54=1;38=1300;44=93.1;100=D;
09:01:28.400,35=D;11=LIT-885;54=2;38=3000;44=93.0;100=L;,35=D;11=DRK-885;54=2;38=800;44=93.2;100=D;
09:01:28.500,35=D;11=LIT-886;54=1;38=400;44=92.9;100=L;,35=D;11=DRK-886;54=1;38=400;44=93.1;100=D;
09:01:28.600,35=D;11=LIT-887;54=2;38=2200;44=92.9;100=L;,35=D;11=DRK-887;54=2;38=500;44=92.9;100=D;
09:01:28.700,35=D;11=LIT-888;54=1;38=1900;44=93.1;100=L;,35=D;11=DRK-888;54=1;38=800;44=93.3;100=D;
09:01:28.800,35=D;11=LIT-889;54=2;38=3000;44=93.3;100=L;,35=D;11=DRK-889;54=2;38=600;44=93.4;100=D;
09:01:28.900,35=D;11=LIT-890;54=1;38=2700;44=93.3;100=L;,35=D;11=DRK-890;54=1;38=500;44=93.5;100=D;
09:01:29.000,35=D;11=LIT-891;54=2;38=700;44=93.2;100=L;,35=D;11=DRK-891;54=2;38=600;44=93.2;100=D;
09:01:29.100,35=D;11=LIT-892;54=1;38=1500;44=93.3;100=L;,35=D;11=DRK-892;54=1;38=400;44=93.2;100=D;
09:01:29.200,35=D;11=LIT-893;54=2;38=900;44=93.2;100=L;,35=D;11=DRK-893;54=2;38=400;44=93.2;100=D;
09:01:29.300,35=D;11=LIT-894;54=1;38=2100;44=93.2;100=L;,35=D;11=DRK-894;54=1;38=700;44=93.2;100=D;
09:01:29.400,35=D;11=LIT-895;54=2;38=1200;44=93.1;100=L;,35=D;11=DRK-895;54=2;38=400;44=93.2;100=D;
09:01:29.500,35=D;11=LIT-896;54=1;38=1300;44=93.2;100=L;,35=D;11=DRK-896;54=1;38=1400;44=93.1;100=D;
09:01:29.600,35=D;11=LIT-897;54=2;38=3000;44=93.2;100=L;,35=D;11=DRK-897;54=2;38=1200;44=93.2;100=D;
09:01:29.700,35=D;11=LIT-898;54=1;38=200;44=93.0;100=L;,35=D;11=DRK-898;54=1;38=500;44=93.0;100=D;
09:01:29.800,35=D;11=LIT-899;54=2;38=2500;44=92.9;100=L;,35=D;11=DRK-899;54=2;38=500;44=92.7;100=D;
09:01:29.900,35=D;11=LIT-900;54=1;38=2200;44=92.5;100=L;,35=D;11=DRK-900;54=1;38=500;44=92.6;100=D;
09:01:30.000,35=D;11=LIT-901;54=2;38=1900;44=92.4;100=L;,35=D;11=DRK-901;54=2;38=1400;44=92.5;100=D;
09:01:30.100,35=D;11=LIT-902;54=1;38=2500;44=92.6;100=L;,35=D;11=DRK-902;54=1;38=1500;44=92.6;100=D;
09:01:30.200,35=D;11=LIT-903;54=2;38=1900;44=92.8;100=L;,35=D;11=DRK-903;54=2;38=700;44=92.9;100=D;
09:01:30.300,35=D;11=LIT-904;54=1;38=500;44=92.7;100=L;,35=D;11=DRK-904;54=1;38=1500;44=92.7;100=D;
09:01:30.400,35=D;11=LIT-905;54=2;38=2000;44=92.4;100=L;,35=D;11=DRK-905;54=2;38=800;44=92.5;100=D;
09:01:30.500,35=D;11=LIT-906;54=1;38=2500;44=92.8;100=L;,35=D;11=DRK-906;54=1;38=1100;44=92.6;100=D;
09:01:30.600,35=D;11=LIT-907;54=2;38=2600;44=92.5;100=L;,35=D;11=DRK-907;54=2;38=1500;44=92.5;100=D;
09:01:30.700,35=D;11=LIT-908;54=1;38=2100;44=92.7;100=L;,35=D;11=DRK-908;54=1;38=1000;44=92.6;100=D;
09:01:30.800,35=D;11=LIT-909;54=2;38=2100;44=92.3;100=L;,35=D;11=DRK-909;54=2;38=1400;44=92.5;100=D;
09:01:30.900,35=D;11=LIT-910;54=1;38=2400;44=92.3;100=L;,35=D;11=DRK-910;54=1;38=600;44=92.4;100=D;
09:01:31.000,35=D;11=LIT-911;54=2;38=3000;44=92.3;100=L;,35=D;11=DRK-911;54=2;38=1000;44=92.2;100=D;
09:01:31.100,35=D;11=LIT-912;54=1;38=2200;44=92.0;100=L;,35=D;11=DRK-912;54=1;38=1400;44=92.0;100=D;
09:01:31.200,35=D;11=LIT-913;54=2;38=2500;44=92.2;100=L;,35=D;11=DRK-913;54=2;38=900;44=92.3;100=D;
09:01:31.300,35=D;11=LIT-914;54=1;38=200;44=92.1;100=L;,35=D;11=DRK-914;54=1;38=200;44=92.0;100=D;
09:01:31.400,35=D;11=LIT-915;54=2;38=1200;44=92.4;100=L;,35=D;11=DRK-915;54=2;38=300;44=92.3;100=D;
09:01:31.500,35=D;11=LIT-916;54=1;38=500;44=92.0;100=L;,35=D;11=DRK-916;54=1;38=100;44=92.1;100=D;
09:01:31.600,35=D;11=LIT-917;54=2;38=1600;44=92.0;100=L;,35=D;11=DRK-917;54=2;38=900;44=92.2;100=D;
09:01:31.700,35=D;11=LIT-918;54=1;38=1300;44=91.9;100=L;,35=D;11=DRK-918;54=1;38=400;44=91.9;100=D;
09:01:31.800,35=D;11=LIT-919;54=2;38=1800;44=92.0;100=L;,35=D;11=DRK-919;54=2;38=200;44=92.1;100=D;
09:01:31.900,35=D;11=LIT-920;54=1;38=1100;44=92.2;100=L;,35=D;11=DRK-920;54=1;38=400;44=92.2;100=D;
09:01:32.000,35=D;11=LIT-921;54=2;38=600;44=92.4;100=L;,35=D;11=DRK-921;54=2;38=1300;44=92.4;100=D;
09:01:32.100,35=D;11=LIT-922;54=1;38=1500;44=92.2;100=L;,35=D;11=DRK-922;54=1;38=1400;44=92.1;100=D;
09:01:32.200,35=D;11=LIT-923;54=2;38=1600;44=92.0;100=L;,35=D;11=DRK-923;54=2;38=300;44=91.9;100=D;
09:01:32.300,35=D;11=LIT-924;54=1;38=800;44=92.0;100=L;,35=D;11=DRK-924;54=1;38=300;44=92.0;100=D;
09:01:32.400,35=D;11=LIT-925;54=2;38=2400;44=92.0;100=L;,35=D;11=DRK-925;54=2;38=1200;44=91.9;100=D;
09:01:32.500,35=D;11=LIT-926;54=1;38=2100;44=92.0;100=L;,35=D;11=DRK-926;54=1;38=700;44=92.1;100=D;
09:01:32.600,35=D;11=LIT-927;54=2;38=400;44=92.0;100=L;,35=D;11=DRK-927;54=2;38=1400;44=92.0;100=D;
09:01:32.700,35=D;11=LIT-928;54=1;38=2300;44=91.9;100=L;,35=D;11=DRK-928;54=1;38=500;44=91.7;100=D;
09:01:32.800,35=D;11=LIT-929;54=2;38=1200;44=91.7;100=L;,35=D;11=DRK-929;54=2;38=1300;44=91.7;100=D;
09:01:32.900,35=D;11=LIT-930;54=1;38=500;44=91.6;100=L;,35=D;11=DRK-930;54=1;38=1100;44=91.5;100=D;
09:01:33.000,35=D;11=LIT-931;54=2;38=1900;44=91.8;100=L;,35=D;11=DRK-931;54=2;38=1500;44=91.8;100=D;
09:01:33.100,35=D;11=LIT-932;54=1;38=1400;44=91.7;100=L;,35=D;11=DRK-932;54=1;38=200;44=91.6;100=D;
09:01:33.200,35=D;11=LIT-933;54=2;38=400;44=91.7;100=L;,35=D;11=DRK-933;54=2;38=500;44=91.6;100=D;
09:01:33.300,35=D;11=LIT-934;54=1;38=400;44=91.7;100=L;,35=D;11=DRK-934;54=1;38=1100;44=91.8;100=D;
09:01:33.400,35=D;11=LIT-935;54=2;38=2600;44=91.9;100=L;,35=D;11=DRK-935;54=2;38=100;44=91.8;100=D;
09:01:33.500,35=D;11=LIT-936;54=1;38=1200;44=91.9;100=L;,35=D;11=DRK-936;54=1;38=1000;44=91.8;100=D;
09:01:33.600,35=D;11=LIT-937;54=2;38=1400;44=91.9;100=L;,35=D;11=DRK-937;54=2;38=1500;44=91.9;100=D;
09:01:33.700,35=D;11=LIT-938;54=1;38=2800;44=92.1;100=L;,35=D;11=DRK-938;54=1;38=800;44=92.3;100=D;
09:01:33.800,35=D;11=LIT-939;54=2;38=1000;44=92.0;100=L;,35=D;11=DRK-939;54=2;38=800;44=92.2;100=D;
09:01:33.900,35=D;11=LIT-940;54=1;38=2700;44=92.0;100=L;,35=D;11=DRK-940;54=1;38=900;44=91.8;100=D;
09:01:34.000,35=D;11=LIT-941;54=2;38=1200;44=92.0;100=L;,35=D;11=DRK-941;54=2;38=1400;44=91.9;100=D;
09:01:34.100,35=D;11=LIT-942;54=1;38=2700;44=91.9;100=L;,35=D;11=DRK-942;54=1;38=700;44=91.8;100=D;
09:01:34.200,35=D;11=LIT-943;54=2;38=1900;44=92.1;100=L;,35=D;11=DRK-943;54=2;38=1100;44=92.1;100=D;
09:01:34.300,35=D;11=LIT-944;54=1;38=1400;44=92.1;100=L;,35=D;11=DRK-944;54=1;38=400;44=92.0;100=D;
09:01:34.400,35=D;11=LIT-945;54=2;38=300;44=91.8;100=L;,35=D;11=DRK-945;54=2;38=1200;44=92.0;100=D;
09:01:34.500,35=D;11=LIT-946;54=1;38=1100;44=91.8;100=L;,35=D;11=DRK-946;54=1;38=400;44=91.9;100=D;
09:01:34.600,35=D;11=LIT-947;54=2;38=1500;44=91.8;100=L;,35=D;11=DRK-947;54=2;38=1000;44=91.8;100=D;
09:01:34.700,35=D;11=LIT-948;54=1;38=2300;44=91.6;100=L;,35=D;11=DRK-948;54=1;38=300;44=91.8;100=D;
09:01:34.800,35=D;11=LIT-949;54=2;38=2100;44=91.4;100=L;,35=D;11=DRK-949;54=2;38=400;44=91.6;100=D;
09:01:34.900,35=D;11=LIT-950;54=1;38=300;44=91.8;100=L;,35=D;11=DRK-950;54=1;38=300;44=91.7;100=D;
09:01:35.000,35=D;11=LIT-951;54=2;38=700;44=91.7;100=L;,35=D;11=DRK-951;54=2;38=100;44=91.6;100=D;
09:01:35.100,35=D;11=LIT-952;54=1;38=2700;44=91.5;100=L;,35=D;11=DRK-952;54=1;38=600;44=91.5;100=D;
09:01:35.200,35=D;11=LIT-953;54=2;38=900;44=91.7;100=L;,35=D;11=DRK-953;54=2;38=600;44=91.7;100=D;
09:01:35.300,35=D;11=LIT-954;54=1;38=2200;44=91.5;100=L;,35=D;11=DRK-954;54=1;38=1400;44=91.7;100=D;
09:01:35.400,35=D;11=LIT-955;54=2;38=700;44=91.3;100=L;,35=D;11=DRK-955;54=2;38=700;44=91.3;100=D;
09:01:35.500,35=D;11=LIT-956;54=1;38=500;44=91.4;100=L;,35=D;11=DRK-956;54=1;38=1000;44=91.4;100=D;
09:01:35.600,35=D;11=LIT-957;54=2;38=1500;44=91.5;100=L;,35=D;11=DRK-957;54=2;38=800;44=91.5;100=D;
09:01:35.700,35=D;11=LIT-958;54=1;38=2000;44=91.4;100=L;,35=D;11=DRK-958;54=1;38=1000;44=91.4;100=D;
09:01:35.800,35=D;11=LIT-959;54=2;38=2900;44=91.4;100=L;,35=D;11=DRK-959;54=2;38=1400;44=91.4;100=D;
09:01:35.900,35=D;11=LIT-960;54=1;38=1900;44=91.3;100=L;,35=D;11=DRK-960;54=1;38=300;44=91.4;100=D;
09:01:36.000,35=D;11=LIT-961;54=2;38=2300;44=91.3;100=L;,35=D;11=DRK-961;54=2;38=1100;44=91.5;100=D;
09:01:36.100,35=D;11=LIT-962;54=1;38=2400;44=91.6;100=L;,35=D;11=DRK-962;54=1;38=1200;44=91.4;100=D;
09:01:36.200,35=D;11=LIT-963;54=2;38=2600;44=91.4;100=L;,35=D;11=DRK-963;54=2;38=1100;44=91.2;100=D;
09:01:36.300,35=D;11=LIT-964;54=1;38=1800;44=91.3;100=L;,35=D;11=DRK-964;54=1;38=400;44=91.2;100=D;
09:01:36.400,35=D;11=LIT-965;54=2;38=200;44=91.2;100=L;,35=D;11=DRK-965;54=2;38=500;44=91.1;100=D;
09:01:36.500,35=D;11=LIT-966;54=1;38=1200;44=91.3;100=L;,35=D;11=DRK-966;54=1;38=300;44=91.3;100=D;
09:01:36.600,35=D;11=LIT-967;54=2;38=2600;44=91.4;100=L;,35=D;11=DRK-967;54=2;38=900;44=91.4;100=D;
09:01:36.700,35=D;11=LIT-968;54=1;38=300;44=91.3;100=L;,35=D;11=DRK-968;54=1;38=100;44=91.3;100=D;
09:01:36.800,35=D;11=LIT-969;54=2;38=2800;44=91.3;100=L;,35=D;11=DRK-969;54=2;38=400;44=91.2;100=D;
09:01:36.900,35=D;11=LIT-970;54=1;38=2500;44=91.5;100=L;,35=D;11=DRK-970;54=1;38=800;44=91.4;100=D;
09:01:37.000,35=D;11=LIT-971;54=2;38=2300;44=91.6;100=L;,35=D;11=DRK-971;54=2;38=100;44=91.6;100=D;
09:01:37.100,35=D;11=LIT-972;54=1;38=200;44=91.4;100=L;,35=D;11=DRK-972;54=1;38=1200;44=91.5;100=D;
